t,x,y,id,
0.0005,3.72427,4.5409,0,
0.001,3.68317,4.58168,0,
0.0015,3.65226,4.51873,0,
0.002,3.68782,4.50836,0,
0.0025,3.6819,4.50024,0,
0.003,3.60385,4.52306,0,
0.0035,3.6289,4.50997,0,
0.004,3.62762,4.49325,0,
0.0045,3.6369,4.55977,0,
0.005,3.63756,4.51187,0,
0.0055,3.64675,4.51742,0,
0.006,3.60956,4.5246,0,
0.0065,3.61988,4.53527,0,
0.007,3.6062,4.55715,0,
0.0075,3.65796,4.58517,0,
0.008,3.64571,4.58154,0,
0.0085,3.64259,4.57965,0,
0.009,3.65096,4.56275,0,
0.0095,3.674,4.58114,0,
0.01,3.64623,4.58539,0,
0.0105,3.67072,4.57742,0,
0.011,3.66545,4.59264,0,
0.0115,3.70735,4.60587,0,
0.012,3.74022,4.63104,0,
0.0125,3.69477,4.64356,0,
0.013,3.69004,4.62292,0,
0.0135,3.72486,4.62333,0,
0.014,3.75656,4.62168,0,
0.0145,3.70377,4.62075,0,
0.015,3.66044,4.60975,0,
0.0155,3.68112,4.63721,0,
0.016,3.64041,4.57739,0,
0.0165,3.65005,4.60484,0,
0.017,3.67584,4.60368,0,
0.0175,3.63047,4.54874,0,
0.018,3.67597,4.6082,0,
0.0185,3.65143,4.63262,0,
0.019,3.67485,4.63012,0,
0.0195,3.7025,4.61591,0,
0.02,3.69212,4.64233,0,
0.0205,3.6878,4.69661,0,
0.021,3.69106,4.68227,0,
0.0215,3.71547,4.67386,0,
0.022,3.74144,4.67343,0,
0.0225,3.67728,4.63427,0,
0.023,3.62048,4.63641,0,
0.0235,3.64283,4.66142,0,
0.024,3.69489,4.68597,0,
0.0245,3.64303,4.68644,0,
0.025,3.66931,4.68669,0,
0.0255,3.6572,4.69229,0,
0.026,3.74357,4.68777,0,
0.0265,3.72825,4.64322,0,
0.027,3.74977,4.66527,0,
0.0275,3.73283,4.65594,0,
0.028,3.7252,4.61731,0,
0.0285,3.70923,4.56609,0,
0.029,3.72188,4.58912,0,
0.0295,3.73357,4.58937,0,
0.03,3.70407,4.56037,0,
0.0305,3.68478,4.55132,0,
0.031,3.71273,4.511,0,
0.0315,3.75875,4.54611,0,
0.032,3.74588,4.51285,0,
0.0325,3.74613,4.49772,0,
0.033,3.70899,4.53207,0,
0.0335,3.74182,4.54366,0,
0.034,3.74231,4.51876,0,
0.0345,3.7026,4.45894,0,
0.035,3.73106,4.46943,0,
0.0355,3.71363,4.57139,0,
