t,x,y,id
0,2.18633,0.881007,0
0.0005,2.18417,0.887118,0
0.001,2.18732,0.890259,0
0.0015,2.19618,0.867402,0
0.002,2.17498,0.864728,0
0.0025,2.18339,0.831573,0
0.003,2.16317,0.866602,0
0.0035,2.16504,0.867825,0
0.004,2.20487,0.840913,0
0.0045,2.21186,0.834418,0
0.005,2.21751,0.843965,0
0.0055,2.215,0.846995,0
0.006,2.22048,0.861729,0
0.0065,2.22336,0.858699,0
0.007,2.2143,0.837527,0
0.0075,2.16979,0.822842,0
0.008,2.16252,0.827717,0
0.0085,2.15858,0.831801,0
0.009,2.13763,0.843161,0
0.0095,2.09567,0.873945,0
0.01,2.10693,0.854022,0
0.0105,2.12335,0.860749,0
0.011,2.13895,0.872235,0
0.0115,2.17509,0.835557,0
0.012,2.18587,0.838505,0
0.0125,2.21365,0.870378,0
0.013,2.2097,0.855114,0
0.0135,2.17299,0.853641,0
0.014,2.17187,0.828484,0
0.0145,2.13508,0.869026,0
0.015,2.11684,0.871574,0
0.0155,2.15094,0.838887,0
0.016,2.13521,0.845781,0
0.0165,2.12254,0.889248,0
0.017,2.09361,0.915065,0
0.0175,2.05173,0.890607,0
0.018,2.04984,0.904945,0
0.0185,2.07964,0.855109,0
0.019,2.08654,0.841451,0
0.0195,2.09512,0.885936,0
0.02,2.14106,0.876606,0
0.0205,2.18075,0.858487,0
0.021,2.17172,0.892105,0
0.0215,2.19058,0.885772,0
0.022,2.2196,0.889003,0
0.0225,2.23171,0.901411,0
0.023,2.23465,0.934463,0
0.0235,2.24016,0.938776,0
0.024,2.24656,0.956479,0
0.0245,2.2073,1.00302,0
0.025,2.22723,0.989644,0
0.0255,2.2331,1.0062,0
0.026,2.25481,1.00656,0
0.0265,2.27625,1.00603,0
0.027,2.28896,1.00979,0
0.0275,2.34042,0.983653,0
0.028,2.34042,0.995802,0
0.0285,2.31889,1.01694,0
0.029,2.26566,1.03429,0
0.0295,2.29488,1.02115,0
0.03,2.302,1.01528,0
0.0305,2.28673,1.01396,0
0.031,2.28026,1.01807,0
0.0315,2.28172,1.04929,0
0.032,2.29621,1.03398,0
0.0325,2.28124,1.01943,0
0.033,2.30547,1.01442,0
0.0335,2.30845,0.989486,0
0.034,2.2981,1.01727,0
0.0345,2.27181,1.02613,0
0.035,2.26407,1.02901,0
0.0355,2.23308,1.04956,0
0.036,2.24328,1.01007,0
0.0365,2.27684,1.01473,0
0.037,2.27853,0.99058,0
0.0375,2.28311,0.98652,0
0.038,2.2833,1.00483,0
0.0385,2.3032,1.00023,0
0.039,2.31803,1.02002,0
0.0395,2.24643,1.01262,0
0.04,2.2466,0.977835,0
0.0405,2.25336,0.988766,0
0.041,2.24219,0.997614,0
0.0415,2.22976,0.988701,0
0.042,2.2538,0.982345,0
0.0425,2.2631,0.988375,0
0.043,2.26686,1.00823,0
0.0435,2.24931,1.03215,0
0.044,2.22368,1.04357,0
0.0445,2.21605,1.05382,0
0.045,2.25224,1.01045,0
0.0455,2.24556,1.00048,0
0.046,2.24423,1.01467,0
0.0465,2.23758,1.00392,0
0.047,2.24758,1.01238,0
0.0475,2.25063,1.04249,0
0.048,2.23495,1.01342,0
0.0485,2.21739,1.01606,0
0.049,2.19754,1.01055,0
0.0495,2.16659,1.07737,0
0.05,2.20369,1.06693,0
0.0505,2.20014,1.07381,0
0.051,2.19589,1.05907,0
0.0515,2.16328,1.07794,0
0.052,2.21038,1.09724,0
0.0525,2.20082,1.13134,0
0.053,2.21527,1.12312,0
0.0535,2.21397,1.12293,0
0.054,2.19205,1.14799,0
0.0545,2.21129,1.14808,0
0.055,2.23742,1.14955,0
0.0555,2.21783,1.14171,0
0.056,2.24968,1.13284,0
0.0565,2.25577,1.12329,0
0.057,2.24899,1.15798,0
0.0575,2.24473,1.16912,0
0.058,2.22374,1.16501,0
0.0585,2.22711,1.13841,0
0.059,2.26342,1.11623,0
0.0595,2.24756,1.13059,0
0.06,2.23679,1.14698,0
0.0605,2.25035,1.15822,0
0.061,2.26373,1.13708,0
0.0615,2.28293,1.13682,0
0.062,2.30878,1.11215,0
0.0625,2.30233,1.10734,0
0.063,2.2888,1.11799,0
0.0635,2.30197,1.10493,0
0.064,2.31623,1.12067,0
0.0645,2.35881,1.11935,0
0.065,2.39794,1.08026,0
0.0655,2.39235,1.0774,0
0.066,2.3785,1.11142,0
0.0665,2.35974,1.08563,0
0.067,2.36881,1.0355,0
0.0675,2.33059,1.0543,0
0.068,2.33388,1.05884,0
0.0685,2.32657,1.11412,0
0.069,2.33186,1.12124,0
0.0695,2.32935,1.15044,0
0.07,2.3082,1.12117,0
0.0705,2.32301,1.10321,0
0.071,2.36301,1.08753,0
0.0715,2.35056,1.11278,0
0.072,2.35745,1.13892,0
0.0725,2.35703,1.16938,0
0.073,2.38533,1.14761,0
0.0735,2.36327,1.19297,0
0.074,2.35167,1.21486,0
0.0745,2.38268,1.1827,0
0.075,2.38017,1.16333,0
0.0755,2.3652,1.15876,0
0.076,2.37526,1.20017,0
0.0765,2.3863,1.18717,0
0.077,2.41518,1.1923,0
0.0775,2.41476,1.24056,0
0.078,2.44632,1.22775,0
0.0785,2.41085,1.21784,0
0.079,2.42257,1.21542,0
0.0795,2.36721,1.24245,0
0.08,2.38397,1.26304,0
0.0805,2.36715,1.2861,0
0.081,2.38307,1.29618,0
0.0815,2.38504,1.30101,0
0.082,2.3845,1.29422,0
0.0825,2.3898,1.28044,0
0.083,2.40609,1.26068,0
0.0835,2.42253,1.24708,0
0.084,2.41377,1.26012,0
0.0845,2.41107,1.25114,0
0.085,2.39996,1.27439,0
0.0855,2.39318,1.32515,0
0.086,2.38595,1.31316,0
0.0865,2.41198,1.26857,0
0.087,2.39796,1.2874,0
0.0875,2.35047,1.27782,0
0.088,2.32661,1.27941,0
0.0885,2.30213,1.30052,0
0.089,2.2897,1.33758,0
0.0895,2.35888,1.32456,0
0.09,2.33855,1.31961,0
0.0905,2.32296,1.2986,0
0.091,2.33304,1.32136,0
0.0915,2.31679,1.3327,0
0.092,2.30043,1.35547,0
0.0925,2.30903,1.36076,0
0.093,2.26837,1.40007,0
0.0935,2.30601,1.39687,0
0.094,2.31133,1.38352,0
0.0945,2.2965,1.37488,0
0.095,2.30318,1.36452,0
0.0955,2.29081,1.37834,0
0.096,2.25436,1.37562,0
0.0965,2.30261,1.29797,0
0.097,2.32741,1.27158,0
0.0975,2.28404,1.3117,0
0.098,2.27629,1.31749,0
0.0985,2.27286,1.31928,0
0.099,2.27748,1.30023,0
0.0995,2.33454,1.29081,0
0.1,2.32467,1.25363,0
0.1005,2.35371,1.23963,0
0.101,2.36183,1.23693,0
0.1015,2.37003,1.22782,0
0.102,2.38088,1.20983,0
0.1025,2.39294,1.17966,0
0.103,2.33464,1.21646,0
0.1035,2.3255,1.20768,0
0.104,2.32949,1.20518,0
0.1045,2.29444,1.23935,0
0.105,2.28139,1.23645,0
0.1055,2.22384,1.2526,0
0.106,2.24261,1.24098,0
0.1065,2.21349,1.26049,0
0.107,2.22859,1.26972,0
0.1075,2.25754,1.2791,0
0.108,2.26947,1.26899,0
0.1085,2.25824,1.28535,0
0.109,2.27988,1.29328,0
0.1095,2.30522,1.26523,0
0.11,2.29102,1.292,0
0.1105,2.32739,1.30712,0
0.111,2.32122,1.32558,0
0.1115,2.27461,1.31187,0
0.112,2.28809,1.30864,0
0.1125,2.2526,1.3494,0
0.113,2.23585,1.34749,0
0.1135,2.22841,1.34706,0
0.114,2.26435,1.32777,0
0.1145,2.28386,1.31873,0
0.115,2.31283,1.33788,0
0.1155,2.29872,1.34177,0
0.116,2.31132,1.30063,0
0.1165,2.31332,1.28414,0
0.117,2.29297,1.29649,0
0.1175,2.24792,1.32869,0
0.118,2.22573,1.3624,0
0.1185,2.23268,1.34597,0
0.119,2.2494,1.3457,0
0.1195,2.30536,1.34389,0
0.12,2.34244,1.32,0
0.1205,2.36018,1.31629,0
0.121,2.37633,1.33034,0
0.1215,2.38,1.33542,0
0.122,2.38633,1.31291,0
0.1225,2.38002,1.30775,0
0.123,2.32317,1.33404,0
0.1235,2.36184,1.28827,0
0.124,2.34819,1.27901,0
0.1245,2.381,1.29141,0
0.125,2.3878,1.33564,0
0.1255,2.40118,1.3678,0
0.126,2.3758,1.40405,0
0.1265,2.37043,1.42387,0
0.127,2.35871,1.43995,0
0.1275,2.36359,1.42213,0
0.128,2.33249,1.43158,0
0.1285,2.31875,1.39825,0
0.129,2.31363,1.37685,0
0.1295,2.32046,1.36433,0
0.13,2.31219,1.37365,0
0.1305,2.31896,1.3644,0
0.131,2.30205,1.39177,0
0.1315,2.29035,1.35874,0
0.132,2.32437,1.31558,0
0.1325,2.33217,1.31988,0
0.133,2.34251,1.27853,0
0.1335,2.33817,1.27919,0
0.134,2.31038,1.27647,0
0.1345,2.30797,1.28046,0
0.135,2.27722,1.32271,0
0.1355,2.24522,1.33937,0
0.136,2.24559,1.3093,0
0.1365,2.23544,1.30905,0
0.137,2.24966,1.28244,0
0.1375,2.24996,1.31271,0
0.138,2.23535,1.2996,0
0.1385,2.22199,1.31288,0
0.139,2.22077,1.34247,0
0.1395,2.21851,1.32763,0
0.14,2.20249,1.29655,0
0.1405,2.1908,1.2909,0
0.141,2.20796,1.28618,0
0.1415,2.21699,1.27804,0
0.142,2.2374,1.26331,0
0.1425,2.24646,1.2508,0
0.143,2.22487,1.28491,0
0.1435,2.23823,1.29237,0
0.144,2.22704,1.32089,0
0.1445,2.19148,1.30144,0
0.145,2.20331,1.2365,0
0.1455,2.15588,1.29983,0
0.146,2.13459,1.31804,0
0.1465,2.15203,1.29462,0
0.147,2.17177,1.28369,0
0.1475,2.16194,1.29375,0
0.148,2.18168,1.29671,0
0.1485,2.22736,1.27925,0
0.149,2.23104,1.25378,0
0.1495,2.21258,1.23469,0
0.15,2.22202,1.24648,0
0.1505,2.18019,1.25155,0
0.151,2.14915,1.29464,0
0.1515,2.16051,1.27302,0
0.152,2.20399,1.24848,0
0.1525,2.18208,1.26307,0
0.153,2.12985,1.26221,0
0.1535,2.08641,1.25396,0
0.154,2.10736,1.23686,0
0.1545,2.09452,1.21644,0
0.155,2.11766,1.217,0
0.1555,2.11211,1.23895,0
0.156,2.14566,1.25633,0
0.1565,2.14133,1.27891,0
0.157,2.17728,1.26147,0
0.1575,2.18177,1.26871,0
0.158,2.21972,1.26393,0
0.1585,2.21594,1.25957,0
0.159,2.19862,1.27163,0
0.1595,2.18893,1.30137,0
0.16,2.18173,1.31547,0
0.1605,2.20117,1.33259,0
0.161,2.22904,1.34226,0
0.1615,2.24085,1.32743,0
0.162,2.25277,1.36001,0
0.1625,2.24516,1.35043,0
0.163,2.23744,1.35597,0
0.1635,2.23001,1.3557,0
0.164,2.20955,1.38425,0
0.1645,2.22888,1.39425,0
0.165,2.27417,1.36329,0
0.1655,2.30104,1.35914,0
0.166,2.26619,1.37087,0
0.1665,2.26769,1.34187,0
0.167,2.22027,1.35637,0
0.1675,2.20737,1.39792,0
0.168,2.23827,1.3597,0
0.1685,2.25353,1.35603,0
0.169,2.23219,1.38398,0
0.1695,2.24909,1.36937,0
0.17,2.20872,1.38651,0
0.1705,2.23987,1.40959,0
0.171,2.228,1.38677,0
0.1715,2.231,1.36026,0
0.172,2.204,1.35273,0
0.1725,2.19678,1.34869,0
0.173,2.19004,1.38063,0
0.1735,2.2565,1.32638,0
0.174,2.22049,1.32385,0
0.1745,2.17522,1.36758,0
0.175,2.23553,1.32716,0
0.1755,2.20981,1.33257,0
0.176,2.20367,1.3366,0
0.1765,2.20731,1.34385,0
0.177,2.22625,1.3204,0
0.1775,2.21376,1.33549,0
0.178,2.18575,1.34437,0
0.1785,2.16339,1.34887,0
0.179,2.16885,1.37144,0
0.1795,2.12706,1.3822,0
0.18,2.14391,1.38607,0
0.1805,2.15407,1.37127,0
0.181,2.14555,1.35399,0
0.1815,2.16259,1.35026,0
0.182,2.17388,1.32205,0
0.1825,2.19458,1.3141,0
0.183,2.19598,1.32176,0
0.1835,2.16823,1.34127,0
0.184,2.1792,1.32688,0
0.1845,2.2011,1.29238,0
0.185,2.19403,1.29083,0
0.1855,2.15962,1.30425,0
0.186,2.1325,1.30871,0
0.1865,2.14473,1.28478,0
0.187,2.16799,1.26216,0
0.1875,2.17474,1.23162,0
0.188,2.19279,1.24145,0
0.1885,2.26644,1.24043,0
0.189,2.25558,1.24474,0
0.1895,2.28923,1.24693,0
0.19,2.30287,1.24195,0
0.1905,2.27899,1.25686,0
0.191,2.24228,1.24962,0
0.1915,2.2394,1.23835,0
0.192,2.21531,1.25636,0
0.1925,2.2278,1.27043,0
0.193,2.20587,1.27332,0
0.1935,2.17793,1.27629,0
0.194,2.18298,1.25195,0
0.1945,2.19659,1.23737,0
0.195,2.23492,1.25206,0
0.1955,2.2513,1.24001,0
0.196,2.2507,1.22817,0
0.1965,2.26469,1.21055,0
0.197,2.26111,1.22495,0
0.1975,2.24877,1.2224,0
0.198,2.24306,1.2193,0
0.1985,2.20375,1.2227,0
0.199,2.18429,1.22957,0
0.1995,2.17286,1.19604,0
0.2,2.17434,1.20683,0
0.2005,2.16519,1.19218,0
0.201,2.15423,1.20611,0
0.2015,2.19488,1.19813,0
0.202,2.1994,1.22235,0
0.2025,2.22183,1.20762,0
0.203,2.23272,1.22551,0
0.2035,2.2416,1.26216,0
0.204,2.22841,1.28975,0
0.2045,2.23013,1.28994,0
0.205,2.24941,1.28672,0
0.2055,2.23628,1.28804,0
0.206,2.21967,1.28393,0
0.2065,2.20632,1.30273,0
0.207,2.21519,1.29253,0
0.2075,2.25025,1.29591,0
0.208,2.22428,1.29263,0
0.2085,2.25344,1.30372,0
0.209,2.24506,1.29787,0
0.2095,2.26214,1.23893,0
0.21,2.22758,1.23198,0
0.2105,2.23961,1.23705,0
0.211,2.22602,1.24976,0
0.2115,2.21302,1.26396,0
0.212,2.20811,1.23389,0
0.2125,2.1714,1.21475,0
0.213,2.18155,1.21666,0
0.2135,2.16989,1.2493,0
0.214,2.22529,1.21764,0
0.2145,2.24921,1.22582,0
0.215,2.27806,1.24654,0
0.2155,2.2457,1.24733,0
0.216,2.28702,1.23983,0
0.2165,2.27348,1.26398,0
0.217,2.27455,1.26337,0
0.2175,2.29803,1.25838,0
0.218,2.3122,1.22508,0
0.2185,2.33002,1.20424,0
0.219,2.33375,1.19136,0
0.2195,2.31125,1.18905,0
0.22,2.34704,1.16481,0
0.2205,2.29126,1.19414,0
0.221,2.23618,1.16458,0
0.2215,2.2444,1.14012,0
0.222,2.23118,1.13706,0
0.2225,2.24178,1.12791,0
0.223,2.25194,1.12967,0
0.2235,2.27125,1.15021,0
0.224,2.26694,1.13349,0
0.2245,2.28036,1.1597,0
0.225,2.26102,1.15796,0
0.2255,2.28462,1.15567,0
0.226,2.27584,1.18627,0
0.2265,2.26687,1.18867,0
0.227,2.25423,1.19344,0
0.2275,2.2403,1.18475,0
0.228,2.2514,1.20279,0
0.2285,2.26929,1.22609,0
0.229,2.30985,1.20702,0
0.2295,2.32291,1.20489,0
0.23,2.34126,1.20783,0
0.2305,2.31619,1.17309,0
0.231,2.28309,1.22778,0
0.2315,2.28998,1.22909,0
0.232,2.30307,1.20543,0
0.2325,2.31829,1.1856,0
0.233,2.36949,1.13692,0
0.2335,2.35901,1.17277,0
0.234,2.35864,1.14637,0
0.2345,2.34422,1.12069,0
0.235,2.31689,1.15105,0
0.2355,2.30687,1.15223,0
0.236,2.31491,1.13563,0
0.2365,2.33265,1.15249,0
0.237,2.35287,1.14767,0
0.2375,2.37903,1.18528,0
0.238,2.42405,1.17638,0
0.2385,2.47003,1.15349,0
0.239,2.47734,1.16954,0
0.2395,2.47321,1.15803,0
0.24,2.43956,1.19052,0
0.2405,2.42383,1.17656,0
0.241,2.44231,1.17185,0
0.2415,2.44007,1.18096,0
0.242,2.43635,1.20293,0
0.2425,2.43193,1.20435,0
0.243,2.42383,1.20532,0
0.2435,2.42183,1.23182,0
0.244,2.39482,1.21775,0
0.2445,2.327,1.27676,0
0.245,2.31441,1.28989,0
0.2455,2.33444,1.25492,0
0.246,2.33876,1.22796,0
0.2465,2.30287,1.23541,0
0.247,2.33383,1.19975,0
